TRACK,POSTED,LIKES,REPOSTS,PLAYS,COMMENTS
6 - Shred'er & Xipe Totecs - Morning Pétanque 150 Bpm,2 years ago,384,18,"7,611",22
7 - Delirium Tremens - Cyber Chicken Invasion 148,2 years ago,144,15,"3,832",8
8 - Desired Reaction - Instantes - 153 Bpm,2 years ago,98,5,"1,838",5
9 - Synthetik Chaos & BenSolo - Paindemie 154 Bpm,2 years ago,183,16,"3,398",4
Divergent Polarity Cd1 Compiled by The Horrids,2 years ago,,,,
THE HORRIDS LIVE @ HADRA TRANCE FESTIVAL 2022 [28.08 | 01:00 / 02:30],2 years ago,858,85,14.3K,36
1 - La Marquise - The Mind (Master 16b),2 years ago,182,10,"3,858",9
2 - La Marquise - Slow Down (Master 16b),2 years ago,49,4,"1,514",3
3 - La Marquise - Dance Like Butterfly (Master 16b),2 years ago,212,11,"3,973",10
La Marquise - Precisly Nowhere EP,2 years ago,,,,
V.A. - HTF 2022 CD2 - 07 - The Horrids - Stranger,3 years ago,198,28,"3,736",9
V.A Ta-Na-Tsiic compiled by Dj Art2fly,3 years ago,,,,
1 - Desh - Neurogenesis (Master 16b),3 years ago,100,9,"2,279",
2 - Neurology - Rhythm Manipulation (Master 16b),3 years ago,107,12,"2,160",4
3 - Jimi Green - Up In Smoke (Master 16b),3 years ago,111,13,"1,823",5
4 - Xipe Totecs - Infinite Corridor (Master 16b),3 years ago,308,22,"6,507",7
5 - Hypnospores & Labrat - Fungus Junks (Master 16b),3 years ago,355,23,"7,244",5
6 - Kalicell & Ohuican - Cyber Talk (Master 16b),3 years ago,86,9,"1,682",1
7 - Dendrophile - Holocene Hallucinations (Master 16b),3 years ago,51,6,997,1
8 - Igor LSE- Extra Whipped Cream (Master 16b),3 years ago,52,5,976,
9 - Great Carnivores & Soundscape - Spooky Landscape (Master 16b),3 years ago,76,3,"1,515",
10 - Shred'er & Zeo - Mescalized (Master 16b),3 years ago,128,8,"2,169",6
V.A Ta-Na - Tsiic Minimix,3 years ago,"1,333",62,28.5K,45
Transubtil Adventure Japan,3 years ago,,,,
Xipe Totecs LIVE - Transubtil Adventure Japan,3 years ago,634,54,13.1K,34
The Horrids LIVE - Transubtil Adventure Japan,3 years ago,891,92,13.5K,83
Shred'er LIVE - Transubtil Adventure Japan,3 years ago,261,41,"3,356",17
Radikal Moodz LIVE - Transubtil Adventure Japan,3 years ago,"1,824",125,37.1K,79
Pakkun DJset - Transubtil Adventure Japan,3 years ago,105,13,"1,133",11
Mekanorms DJset - Transubtil Adventure Japan,3 years ago,59,14,750,3
Lazzy DJset - Transubtil Adventure Japan,3 years ago,140,22,"1,905",8
Dr Fractal LIVE - Transubtil Adventure Japan,3 years ago,371,46,"4,572",29
Xipe Totecs - Evil in the shell EP,3 years ago,,,,
Xipe Totecs & Andromed - Invation,3 years ago,332,28,"7,118",16
Xipe Totecs - Syncopation,3 years ago,374,27,"8,475",17
Xipe Totecs - Evil In The Shell,3 years ago,592,40,12.6K,27
Dr Fractal - Into Matter Ep,3 years ago,,,,
4.Dr Fractal & Heavy Fawn - End Of Isangard,3 years ago,197,13,"3,358",6
3.Dr Fractal - Complex Geometry,3 years ago,34,6,716,
2.Dr Fractal - Into Matter,3 years ago,53,7,939,
1.Dr Fractal - Nebula,3 years ago,50,3,"1,196",5
Dr Fractal - Into Matter Ep (minimix),3 years ago,188,22,"3,059",12
HYPNOSPORES | Transubtil Records presents | 13/11/2021,3 years ago,576,79,"7,112",46
HEAVY FAWN | Transubtil Records presents | 30/09/2021,3 years ago,403,62,"5,462",23
MEKANORMS - Freaky Riders | Transubtil Records presents | Release Tease | 31/07/2021,4 years ago,305,49,"3,141",18
Va Freaky Riders - Minimix,4 years ago,876,72,14.3K,33
Exclusive Podcast #059 | with THE HORRIDS ( Transubtil Records ),4 years ago,"1,141",134,17.6K,76
VEHEME | Transubtil Records presents | 05/06/2021,4 years ago,290,51,"3,562",25
Veheme Subtil Cruizer Ep,4 years ago,,,,
Veheme - Unexpected Visitors Demo,4 years ago,38,3,908,5
Dirty Specimens & Veheme - Hit The Spacebar Demo,4 years ago,89,4,"2,002",11
Transubtil Rec Showcase #8 - ART2FLY,4 years ago,723,88,11.2K,55
Interview w/ DR FRACTAL 'Smooth Lobotomy' Launch Show | Transubtil Records presents | 16/01/2021,4 years ago,14,4,567,
DR FRACTAL 'Smooth Lobotomy' Launch Show | Transubtil Records presents | 16/01/2021,4 years ago,443,78,"5,510",31
TRACK PREMIERE | Dr Fractal - Spaceport (Transubtil Records),4 years ago,299,40,"4,827",11
Dr Fractal - Smooth Lobotomy (minimix),4 years ago,752,68,12.3K,41
XIPE TOTECS | Transubtil Records presents | 23/10/2020,4 years ago,"1,222",118,21.1K,79
GLOOM & DOOM | Transubtil Records presents | 08/08/2020,5 years ago,359,66,"3,604",22
DJ LAZZZY | Transubtil Records presents | 04/07/2020,5 years ago,537,74,"6,849",33
The Horrids Vs Yabba Dabba - Super Sticky Preview,5 years ago,489,40,12.7K,20
The Horrids - Ugly And Wicked Preview,5 years ago,72,7,"1,738",4
The Horrids Vs Anubian - Bipolar,5 years ago,128,12,"2,581",6
The Horrids - Paranoid Ep,5 years ago,,,,
The Horrids Vs Omja - Organic Frenesy Preview,5 years ago,46,7,"1,266",3
The Horrids Live at Manadna Showcase,5 years ago,613,82,"8,412",24
"Veheme (Transubtil Records) - Live DJ Set @ Morlaix Bay, France",5 years ago,146,33,"1,586",2
ANDROMED | Transubtil Records presents | 30/05/2020,5 years ago,489,85,"6,279",18
Transubtil Rec showcase # 7 - GLOOM & DOOM,5 years ago,411,54,"4,599",10
YAGSA | Transubtil Records presents | 25/04/2019,5 years ago,224,35,"2,496",15
Va New Wave Killer Minimix,5 years ago,"2,423",163,52.5K,131
Transubtil Rec Showcase #06 - MEKANORMS,5 years ago,182,32,"1,898",5
Breaking Noise - Unsinkable Ep,5 years ago,,,,
Breaking Noise - Surf Preview,5 years ago,34,1,743,1
Breaking Noise - Big Cheeks,5 years ago,25,1,620,1
Breaking Noise - Unsinkable Preview,5 years ago,21,3,426,2
Radiozora sets,5 years ago,,,,
Transubtil Records Showcase,5 years ago,,,,
Transubtil Rec Showcase #05 - LA MARQUISE,5 years ago,162,31,"1,888",10
Transubtil Rec Showcase #04 - BREAKING NOISE,5 years ago,93,21,930,7
YAGSA - TRANSUBTIL REC || SA Exclusive #001,5 years ago,219,35,"2,385",16
Transubtil Rec Showcase #03 - PAKKUN,5 years ago,113,23,"1,046",9
THE HORRIDS | Transubtil Records pesents | 27/03/2020,5 years ago,669,114,"7,807",29
Va Don Piano - Minimix,5 years ago,512,74,"8,253",36
MEKANORMS | Transubtil Records presents | 25/01/2020,5 years ago,481,88,"5,843",20
Transubtil Rec Showcase #02 - DJ LAZZZY,5 years ago,572,64,"8,140",35
The Horrids - Galactik Garbage (Transubtil Rec),5 years ago,142,28,"2,600",20
The Horrids - Space Monsters (Transubtil Rec),5 years ago,249,39,"4,376",38
Andromed - In Loading Ep,6 years ago,,,,
Andromed - In Loading,6 years ago,34,2,842,1
Andromed & Siloka- Overheating System,6 years ago,44,4,936,2
Andromed & La Marquise - Do Not Disconect,6 years ago,30,4,642,2
Andromed - Last Version,6 years ago,30,3,667,3
TRANSUBTIL RECORDS presented by Shred’er - interview | In Focus | 08/06/2019,6 years ago,33,7,"1,428",
TRANSUBTIL RECORDS presented by Shred’er | In Focus | 08/06/2019,6 years ago,792,113,10K,46
Transubtil Rec Showcase #01 - ANDROMED,6 years ago,211,32,"2,478",18
Va Transsiberian Out the 13/06/19,6 years ago,,,,
01 Kipi Vibration - Froline,6 years ago,38,4,"1,156",2
02 Andromed & Veheme -Brown Sugar,6 years ago,42,7,"1,055",5
03 La Marquise -Hacking Tool,6 years ago,35,7,843,2
04 Render & Gandhabba - Can't Remember,6 years ago,187,19,"3,952",25
05 Earthworm - The Worm Is Digging,6 years ago,179,21,"3,309",6
06 Shred'er - Let's Cry,6 years ago,67,7,"1,338",8
07 Cosmic Wheels- Cosmic's Brain,6 years ago,11,Repost,590,1
08 Gloom & Doom - Alright Hal,6 years ago,22,6,702,
09 Sensitive Seeds - True Story,6 years ago,40,6,995,
Veheme - Midnight Snacks Ep,6 years ago,,,,
Veheme - Crazy Couscous,6 years ago,45,5,"1,765",1
Veheme & Andromed - Norwegian Omelet,6 years ago,132,14,"2,639",15
Veheme - Psyzza,6 years ago,69,6,"1,995",5
Shrezonant EP Out now,7 years ago,,,,
Shrezonant EP - Trancemitter - Out now,7 years ago,65,7,"2,162",5
Shrezonant EP - Deadline - Out now,7 years ago,136,14,"2,903",17
Va South Syndicate,7 years ago,,,,
1 - K.I.M Vs Ninesense - Pop Fiction K.I.M Remix 144 Bpm,7 years ago,91,9,"3,260",2
2 - Earthworm - Psychedelic Anthem 148 Bpm,7 years ago,112,17,"3,142",3
3 - Shred'er - The Seven 151 Bpm,7 years ago,155,34,"3,932",25
4 - Kipi Vibration - Living 147 Bpm,7 years ago,78,15,"2,847",3
5 - Mental Droop - Do You Know Where You Are 148 Bpm,7 years ago,77,14,"2,396",10
6 - Wood Warden - Long Travel 148 Bpm,7 years ago,99,8,"2,750",6
7 - Radikal Moodz - Skyfall 148 Bpm,7 years ago,58,8,"1,932",4
9 - Sensitive Seeds - Spirit Of Yucatan 156 Bpm,7 years ago,91,11,"2,093",2
8 - Microsphere & Mechanical Circles - Deep Down Inside 147 Bpm,7 years ago,120,30,"3,148",5
10 - Dr Fractal - Elpsycopter 150 Bpm,7 years ago,107,15,"2,504",8
